IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
6,10.215.173.1,35612,172.253.115.101,443,10585,IPVanish,com.ixolit.ipvanish,HTTPS,Closed,crashlyticsreports-pa.googleapis.com,847,4805,7,7,2026-05-01T02:28:09.279-04:00,2026-05-01T02:28:09.408-04:00
6,10.215.173.1,52456,142.251.179.95,443,10585,IPVanish,com.ixolit.ipvanish,HTTPS,Closed,firebaseinstallations.googleapis.com,887,4844,8,8,2026-05-01T02:28:09.318-04:00,2026-05-01T02:28:09.460-04:00
6,10.215.173.1,55976,192.178.218.95,443,10585,IPVanish,com.ixolit.ipvanish,HTTPS,Error,firebaseinstallations.googleapis.com,847,4765,7,6,2026-05-01T02:28:09.421-04:00,2026-05-01T02:28:09.513-04:00
17,10.215.173.1,58099,10.215.173.2,53,10585,IPVanish,com.ixolit.ipvanish,DNS,Closed,app.adjust.io,59,124,1,1,2026-05-01T02:28:09.443-04:00,2026-05-01T02:28:09.488-04:00
17,10.215.173.1,7366,10.215.173.2,53,10585,IPVanish,com.ixolit.ipvanish,DNS,Closed,app.adjust.io,59,75,1,1,2026-05-01T02:28:09.445-04:00,2026-05-01T02:28:09.488-04:00
6,10.215.173.1,46832,185.151.204.1,443,10585,IPVanish,com.ixolit.ipvanish,HTTPS,Closed,app.adjust.io,807,3804,6,6,2026-05-01T02:28:09.491-04:00,2026-05-01T02:28:09.816-04:00
6,10.215.173.1,42532,172.253.62.95,443,10585,IPVanish,com.ixolit.ipvanish,HTTPS,Closed,firebaseinstallations.googleapis.com,807,4763,6,6,2026-05-01T02:28:09.518-04:00,2026-05-01T02:28:09.677-04:00
6,10.215.173.1,57434,142.250.31.95,443,10585,IPVanish,com.ixolit.ipvanish,HTTPS,Error,firebaseinstallations.googleapis.com,847,4765,7,6,2026-05-01T02:28:09.630-04:00,2026-05-01T02:28:09.733-04:00
6,10.215.173.1,37616,172.253.63.95,443,10585,IPVanish,com.ixolit.ipvanish,HTTPS,Error,firebaseinstallations.googleapis.com,847,4764,7,6,2026-05-01T02:28:09.739-04:00,2026-05-01T02:28:09.849-04:00
6,10.215.173.1,48392,172.253.122.95,443,10585,IPVanish,com.ixolit.ipvanish,TCP,Closed,firebaseinstallations.googleapis.com,100,88,2,2,2026-05-01T02:28:09.851-04:00,2026-05-01T02:28:20.075-04:00
17,10.215.173.1,38663,10.215.173.2,53,10476,Brave,com.brave.browser,DNS,Closed,go-updater.brave.com,66,204,1,1,2026-05-01T02:31:39.701-04:00,2026-05-01T02:31:39.913-04:00
17,10.215.173.1,23401,10.215.173.2,53,10476,Brave,com.brave.browser,DNS,Closed,go-updater.brave.com,66,204,1,1,2026-05-01T02:31:39.713-04:00,2026-05-01T02:31:39.922-04:00
17,10.215.173.1,8291,10.215.173.2,53,10476,Brave,com.brave.browser,DNS,Closed,go-updater.brave.com,66,254,1,1,2026-05-01T02:31:39.729-04:00,2026-05-01T02:31:39.921-04:00
6,10.215.173.1,55366,35.164.73.218,443,10476,Brave,com.brave.browser,HTTPS,Closed,go-updater.brave.com,3777,4374,14,14,2026-05-01T02:31:39.936-04:00,2026-05-01T02:31:50.387-04:00
17,10.215.173.1,38453,10.215.173.2,53,10476,Brave,com.brave.browser,DNS,Closed,anonymous.ads.brave.com,69,174,1,1,2026-05-01T02:32:40.367-04:00,2026-05-01T02:32:40.573-04:00
17,10.215.173.1,27905,10.215.173.2,53,10476,Brave,com.brave.browser,DNS,Closed,anonymous.ads.brave.com,69,228,1,1,2026-05-01T02:32:40.374-04:00,2026-05-01T02:32:40.589-04:00
17,10.215.173.1,34838,10.215.173.2,53,10476,Brave,com.brave.browser,DNS,Closed,anonymous.ads.brave.com,69,180,1,1,2026-05-01T02:32:40.378-04:00,2026-05-01T02:32:40.589-04:00
17,10.215.173.1,41721,10.215.173.2,53,10476,Brave,com.brave.browser,DNS,Closed,anonymous.ads.brave.com,69,174,1,1,2026-05-01T02:32:40.455-04:00,2026-05-01T02:32:40.592-04:00
17,10.215.173.1,13688,10.215.173.2,53,10476,Brave,com.brave.browser,DNS,Closed,anonymous.ads.brave.com,69,228,1,1,2026-05-01T02:32:40.461-04:00,2026-05-01T02:32:40.593-04:00
17,10.215.173.1,26855,10.215.173.2,53,10476,Brave,com.brave.browser,DNS,Closed,anonymous.ads.brave.com,69,180,1,1,2026-05-01T02:32:40.482-04:00,2026-05-01T02:32:40.590-04:00
6,fd00:2:fd00:1:fd00:1:fd00:1,53422,2a04:4e42::649,443,10476,Brave,com.brave.browser,HTTPS,Closed,anonymous.ads.brave.com,3605,8491,12,12,2026-05-01T02:32:40.611-04:00,2026-05-01T02:33:44.724-04:00
